inst_index,actual_class,predicted_class,distribution_0,distribution_1
1.0,0.0,0.0,0.99,0.01
2.0,1.0,1.0,0.05,0.95
3.0,1.0,0.0,0.76,0.24
4.0,0.0,0.0,1.0,0.0
5.0,0.0,0.0,0.95,0.05
6.0,0.0,0.0,0.98,0.02
7.0,1.0,1.0,0.02,0.98
8.0,0.0,0.0,1.0,0.0
9.0,1.0,1.0,0.14,0.86
10.0,1.0,1.0,0.45,0.55
11.0,0.0,0.0,0.84,0.16
12.0,0.0,0.0,0.99,0.01
13.0,0.0,0.0,0.99,0.01
14.0,0.0,0.0,0.99,0.01
15.0,0.0,0.0,1.0,0.0
16.0,1.0,1.0,0.04,0.96
17.0,0.0,0.0,0.98,0.02
18.0,1.0,1.0,0.28,0.72
19.0,0.0,0.0,0.99,0.01
20.0,0.0,0.0,1.0,0.0
21.0,1.0,1.0,0.09,0.91
22.0,0.0,0.0,0.82,0.18
23.0,0.0,0.0,0.97,0.03
24.0,1.0,1.0,0.02,0.98
25.0,0.0,0.0,0.98,0.02
26.0,0.0,0.0,0.99,0.01
27.0,0.0,0.0,0.99,0.01
28.0,0.0,0.0,0.67,0.33
29.0,0.0,0.0,1.0,0.0
30.0,1.0,1.0,0.26,0.74
31.0,0.0,0.0,1.0,0.0
32.0,0.0,0.0,0.96,0.04
33.0,0.0,0.0,0.91,0.09
34.0,1.0,1.0,0.02,0.98
35.0,0.0,0.0,0.98,0.02
36.0,0.0,0.0,0.99,0.01
37.0,0.0,0.0,0.98,0.02
38.0,1.0,1.0,0.02,0.98
39.0,0.0,0.0,0.95,0.05
40.0,1.0,1.0,0.03,0.97
41.0,1.0,1.0,0.01,0.99
42.0,0.0,0.0,0.99,0.01
43.0,1.0,1.0,0.0,1.0
44.0,0.0,0.0,1.0,0.0
45.0,1.0,1.0,0.07,0.93
46.0,1.0,1.0,0.09,0.91
47.0,1.0,1.0,0.46,0.54
48.0,0.0,0.0,0.75,0.25
49.0,0.0,0.0,0.94,0.06
50.0,1.0,1.0,0.08,0.92
