inst_index,actual_class,predicted_class,distribution_0,distribution_1
1.0,1.0,1.0,0.499723486777,0.500276513223
2.0,0.0,0.0,0.500298575266,0.499701424734
3.0,1.0,1.0,0.499484205659,0.500515794341
4.0,0.0,0.0,0.500322363744,0.499677636256
5.0,1.0,1.0,0.499724723535,0.500275276465
6.0,0.0,0.0,0.500213348105,0.499786651895
7.0,0.0,1.0,0.499789879033,0.500210120967
8.0,1.0,1.0,0.499626187274,0.500373812726
9.0,0.0,1.0,0.499992877641,0.500007122359
10.0,1.0,1.0,0.499728054424,0.500271945576
11.0,1.0,0.0,0.500033645615,0.499966354385
12.0,0.0,0.0,0.500261278109,0.499738721891
13.0,1.0,1.0,0.499766283265,0.500233716735
14.0,1.0,0.0,0.500052573281,0.499947426719
15.0,0.0,0.0,0.500288236242,0.499711763758
16.0,1.0,1.0,0.499839332555,0.500160667445
17.0,0.0,0.0,0.500156882125,0.499843117875
18.0,1.0,1.0,0.499990486621,0.500009513379
19.0,0.0,0.0,0.500080417276,0.499919582724
20.0,1.0,1.0,0.499735096537,0.500264903463
21.0,0.0,0.0,0.500226668733,0.499773331267
22.0,0.0,0.0,0.500383163102,0.499616836898
23.0,1.0,1.0,0.499609693191,0.500390306809
24.0,0.0,0.0,0.500166693903,0.499833306097
25.0,0.0,0.0,0.500179611763,0.499820388237
26.0,0.0,0.0,0.500210778282,0.499789221718
27.0,0.0,0.0,0.500092926013,0.499907073987
28.0,0.0,0.0,0.500348235459,0.499651764541
29.0,0.0,0.0,0.500228985003,0.499771014997
30.0,0.0,0.0,0.500328906229,0.499671093771
31.0,0.0,0.0,0.500162053949,0.499837946051
32.0,1.0,1.0,0.499681306245,0.500318693755
33.0,1.0,0.0,0.500024220114,0.499975779886
34.0,1.0,0.0,0.500017150301,0.499982849699
35.0,0.0,0.0,0.500263987286,0.499736012714
36.0,0.0,0.0,0.500523900049,0.499476099951
37.0,1.0,1.0,0.499756121778,0.500243878222
38.0,0.0,0.0,0.500184754755,0.499815245245
39.0,1.0,1.0,0.499976257294,0.500023742706
40.0,1.0,1.0,0.499724137394,0.500275862606
41.0,0.0,0.0,0.50042942712,0.49957057288
42.0,1.0,1.0,0.499245218482,0.500754781518
43.0,1.0,1.0,0.499443456091,0.500556543909
44.0,1.0,1.0,0.499819099851,0.500180900149
45.0,1.0,1.0,0.499536780713,0.500463219287
46.0,1.0,1.0,0.499633251541,0.500366748459
47.0,1.0,1.0,0.49936896625,0.50063103375
