inst_index,actual_class,predicted_class,distribution_0,distribution_1
1.0,0.0,0.0,0.84,0.16
2.0,0.0,0.0,0.65,0.35
3.0,1.0,1.0,0.04,0.96
4.0,0.0,0.0,0.81,0.19
5.0,1.0,1.0,0.04,0.96
6.0,0.0,0.0,0.65,0.35
7.0,1.0,1.0,0.03,0.97
8.0,0.0,0.0,0.99,0.01
9.0,0.0,0.0,0.95,0.05
10.0,0.0,0.0,0.86,0.14
11.0,1.0,1.0,0.13,0.87
12.0,0.0,0.0,0.98,0.02
13.0,0.0,0.0,1.0,0.0
14.0,0.0,0.0,1.0,0.0
15.0,0.0,0.0,0.86,0.14
16.0,0.0,0.0,1.0,0.0
17.0,1.0,1.0,0.01,0.99
18.0,0.0,0.0,0.84,0.16
19.0,0.0,0.0,1.0,0.0
20.0,1.0,1.0,0.09,0.91
21.0,0.0,0.0,0.98,0.02
22.0,1.0,1.0,0.0,1.0
23.0,0.0,0.0,0.94,0.06
24.0,0.0,0.0,0.94,0.06
25.0,0.0,0.0,1.0,0.0
26.0,1.0,1.0,0.14,0.86
27.0,0.0,0.0,0.94,0.06
28.0,0.0,0.0,0.88,0.12
29.0,1.0,0.0,0.57,0.43
30.0,0.0,0.0,0.92,0.08
31.0,0.0,0.0,0.75,0.25
32.0,0.0,0.0,0.83,0.17
33.0,1.0,0.0,0.84,0.16
34.0,0.0,0.0,0.99,0.01
35.0,1.0,1.0,0.03,0.97
36.0,0.0,0.0,1.0,0.0
37.0,1.0,1.0,0.12,0.88
38.0,0.0,0.0,0.99,0.01
39.0,1.0,1.0,0.05,0.95
40.0,1.0,1.0,0.03,0.97
41.0,1.0,1.0,0.02,0.98
42.0,1.0,1.0,0.14,0.86
43.0,1.0,1.0,0.42,0.58
44.0,0.0,0.0,0.82,0.18
45.0,0.0,0.0,0.93,0.07
46.0,1.0,1.0,0.16,0.84
47.0,0.0,0.0,0.89,0.11
48.0,0.0,0.0,0.97,0.03
49.0,1.0,1.0,0.08,0.92
50.0,1.0,1.0,0.16,0.84
51.0,1.0,1.0,0.05,0.95
52.0,0.0,0.0,1.0,0.0
53.0,0.0,0.0,1.0,0.0
54.0,0.0,0.0,0.94,0.06
55.0,0.0,0.0,0.97,0.03
56.0,1.0,1.0,0.02,0.98
57.0,0.0,0.0,0.9,0.1
58.0,0.0,0.0,0.98,0.02
59.0,0.0,0.0,1.0,0.0
60.0,1.0,0.0,0.89,0.11
61.0,1.0,1.0,0.0,1.0
62.0,0.0,0.0,0.99,0.01
63.0,1.0,0.0,0.72,0.28
64.0,0.0,0.0,1.0,0.0
65.0,1.0,1.0,0.06,0.94
66.0,0.0,0.0,1.0,0.0
67.0,1.0,1.0,0.04,0.96
68.0,1.0,1.0,0.15,0.85
69.0,0.0,0.0,1.0,0.0
70.0,0.0,0.0,1.0,0.0
71.0,0.0,0.0,0.95,0.05
72.0,0.0,0.0,1.0,0.0
